mins,peaks
485.8746,485.64844
486.77914,486.3269
487.23129,487.00522
488.81335,487.45734
490.16879,489.03931
491.29788,491.07208
493.10358,492.42654
493.78046,493.55484
495.13379,494.23163
496.48654,496.03568
497.16272,496.93732
498.73987,498.28934
499.86594,499.19034
500.76651,500.31625
501.4418,500.99164
503.01688,501.66684
505.04083,504.14145
508.41132,505.93997
509.30951,508.86044
509.983,509.53403
511.77829,510.20746
515.81409,514.69354
517.83008,517.3822
520.06866,518.50183
521.8584,520.73993
525.21155,522.75293
529.23083,526.99847
531.23859,530.34637
533.24518,533.02228
534.35944,533.69092
535.9187,534.80499
537.92242,537.25464
539.0351,538.36755
541.92627,540.36981
543.70416,543.25977
544.1485,543.92633
545.03699,544.81488
546.14728,545.70319
546.59125,546.36926
547.92291,547.70105
548.58856,548.14484
549.25403,549.03223
552.13635,551.47144
554.79468,553.68732
555.45892,555.01611
555.90167,555.6803
561.21027,558.99939
562.53607,561.65228
562.97791,562.75702
565.62762,564.30304
566.51038,566.28973
567.1723,566.73102
567.83411,567.61353
571.14105,569.59821
573.34393,572.24268
575.10516,574.00452
577.08539,576.64545
581.04242,577.52533
581.48181,581.26215
586.53052,585.87244
587.40778,586.74982
590.47632,589.16156
594.8551,590.91449
597.04236,595.94891
602.0675,598.13544
603.3772,602.50415
605.55884,604.03186
607.3031,605.995
607.95697,607.73901
608.82861,608.17487
611.22437,610.35339
613.18323,612.31274
614.92352,614.271
618.61853,616.4455
621.0072,620.13879
621.44128,621.22424
623.82794,623.61102
625.34576,624.69537
628.37939,625.77936
629.02911,628.59601
635.95111,634.87054
639.40662,637.24738
641.78015,640.05414
642.64282,642.42719
644.58301,643.9364
645.22943,645.01398
648.0293,646.30658
651.68695,649.53589
653.62164,652.7619
660.27667,657.91681
660.91998,660.70557
661.34875,661.1344
661.99182,661.56311
662.84906,662.20618
664.56287,664.34869
668.62927,666.91772
671.62225,670.98114
673.5448,671.83594
673.97186,673.75836
676.10632,675.03931
681.22308,678.45258
682.92676,682.71387
683.35254,683.13965
685.26776,684.20392
686.3313,685.48053
686.96924,686.75659
687.81958,687.39441
688.45721,688.24469
691.85559,691.21869
693.12897,692.06781
693.76544,693.55334
695.46216,693.9776
696.31012,695.88617
697.79352,696.52209
699.27618,698.42902
